jday,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
244,0,,0,,0,,,0,0,,0,0,0,,1,,,,0,0,0,
245,0,0,,0,,0,0,,,0,,,,0,,,,0,,,,0
246,,1,0,,0,,,0,0,,0,0,0,,0,0,0,,0,0,0,
247,0,0,,0,,0,0,,,0,,,,1,,,,0,,,,0
248,0,1,,,1,,,1,0,,1,,2,,0,0,0,,0,0,0,
249,0,,0,0,,2,0,,,0,,,,0,,,,0,,,,0
250,0,0,0,,0,,,1,0,,0,0,1,,0,0,0,,0,0,0,
251,0,0,0,0,,1,0,,,0,,,,1,,,,1,,,,0
252,0,0,0,,1,,,1,0,,0,0,0,,0,1,0,,0,0,0,
253,0,0,0,3,,1,1,,,0,,,,1,,,,0,,,,0
254,1,1,,,0,,,1,1,,0,0,0,,0,0,0,,0,,0,
255,2,0,0,1,,0,1,,,0,,,,0,,,,0,,,,1
256,1,1,0,,0,,,0,0,,0,0,0,,0,1,0,,0,0,0,
257,1,0,0,1,,0,2,,,0,,,,0,,,,1,,,,0
258,0,0,0,,0,,,0,1,,0,0,0,,1,1,0,,0,0,0,
259,0,2,0,2,,0,8,,,0,,,,0,,,,0,,,,1
260,0,1,0,,0,,,0,0,,2,0,0,,0,0,1,,0,0,1,
261,,0,0,0,,3,1,,,0,,,,2,,,,0,,,,0
262,0,0,0,,1,,,0,0,,1,1,0,,0,0,1,,1,0,0,
263,1,0,0,1,,0,1,,,0,,,,0,,,,0,,,,0
264,0,0,0,,1,,,1,1,,4,0,0,,0,0,0,,3,1,0,
265,2,0,0,3,,0,2,,,0,,,,0,,,,0,,,,0
266,0,,1,,1,,,0,0,,0,0,1,,1,0,0,,4,1,0,
267,1,0,0,0,,0,0,,,0,,,,1,,,,1,,,,0
268,3,1,0,,1,,,3,3,,4,1,0,,0,0,0,,1,0,0,
269,0,1,0,2,,12,0,,,0,,,,0,,,,0,,,,2
