"year","mean","sd"
1995,289.359375,16.9146452699835
1996,292.798742138365,17.9025242850352
1997,300.882352941176,13.8304113032335
1998,287.282608695652,21.329366410083
1999,285.740740740741,17.2789587147524
2000,278.816901408451,13.5846950534234
2001,280.173913043478,17.0934825462121
2002,285.40625,21.8372665628622
2003,289.095238095238,23.4051373316787
2004,299,11.3367428801413
2005,278.475,13.0690234906821
2006,299.941176470588,21.1923143344754
2007,281.75,15.0755044138939
2008,269.5,24.5305931440722
2009,288.055555555556,19.6792960076834
2010,282,20.1038968030247
2011,297.115384615385,18.5872721610927
2012,296.129032258065,17.6173337213828
2013,279.75,14.5347490026979
